received_at,Total Installs
2020-11-11 00:00:00+00:00,144100
2020-11-12 00:00:00+00:00,145471
2020-11-13 00:00:00+00:00,146675
2020-11-14 00:00:00+00:00,147405
2020-11-15 00:00:00+00:00,148098
2020-11-16 00:00:00+00:00,149492
2020-11-17 00:00:00+00:00,150709
2020-11-18 00:00:00+00:00,151880
2020-11-19 00:00:00+00:00,153201
2020-11-20 00:00:00+00:00,154235
2020-11-21 00:00:00+00:00,155155
2020-11-22 00:00:00+00:00,155987
2020-11-23 00:00:00+00:00,157065
2020-11-24 00:00:00+00:00,158040
2020-11-25 00:00:00+00:00,159048
2020-11-26 00:00:00+00:00,159971
2020-11-27 00:00:00+00:00,160863
2020-11-28 00:00:00+00:00,161669
2020-11-29 00:00:00+00:00,162442
2020-11-30 00:00:00+00:00,163320
2020-12-01 00:00:00+00:00,164218
2020-12-02 00:00:00+00:00,165362
2020-12-03 00:00:00+00:00,166660
2020-12-04 00:00:00+00:00,167851
2020-12-05 00:00:00+00:00,169043
2020-12-06 00:00:00+00:00,170212
2020-12-07 00:00:00+00:00,171443
2020-12-08 00:00:00+00:00,172675
2020-12-09 00:00:00+00:00,173811
2020-12-10 00:00:00+00:00,175127
2020-12-11 00:00:00+00:00,176040
2020-12-12 00:00:00+00:00,176840
2020-12-13 00:00:00+00:00,177631
2020-12-14 00:00:00+00:00,178816
2020-12-15 00:00:00+00:00,180167
2020-12-16 00:00:00+00:00,181352
2020-12-17 00:00:00+00:00,182679
2020-12-18 00:00:00+00:00,183717
2020-12-19 00:00:00+00:00,184623
2020-12-20 00:00:00+00:00,185393
2020-12-21 00:00:00+00:00,186507
2020-12-22 00:00:00+00:00,187624
2020-12-23 00:00:00+00:00,188526
2020-12-24 00:00:00+00:00,189434
2020-12-25 00:00:00+00:00,190368
2020-12-26 00:00:00+00:00,191179
2020-12-27 00:00:00+00:00,192158
2020-12-28 00:00:00+00:00,193191
2020-12-29 00:00:00+00:00,194188
2020-12-30 00:00:00+00:00,195193
2020-12-31 00:00:00+00:00,196091
2021-01-01 00:00:00+00:00,196813
2021-01-02 00:00:00+00:00,197645
2021-01-03 00:00:00+00:00,198513
2021-01-04 00:00:00+00:00,199662
2021-01-05 00:00:00+00:00,200843
2021-01-06 00:00:00+00:00,202046
2021-01-07 00:00:00+00:00,203423
2021-01-08 00:00:00+00:00,204654
2021-01-09 00:00:00+00:00,206342
2021-01-10 00:00:00+00:00,207864
2021-01-11 00:00:00+00:00,209579
2021-01-12 00:00:00+00:00,211316
2021-01-13 00:00:00+00:00,212612
2021-01-14 00:00:00+00:00,213884
2021-01-15 00:00:00+00:00,215070
2021-01-16 00:00:00+00:00,215775
2021-01-17 00:00:00+00:00,216528
2021-01-18 00:00:00+00:00,217534
2021-01-19 00:00:00+00:00,218703
2021-01-20 00:00:00+00:00,219855
2021-01-21 00:00:00+00:00,220995
2021-01-22 00:00:00+00:00,221906
2021-01-23 00:00:00+00:00,222595
2021-01-24 00:00:00+00:00,223329
2021-01-25 00:00:00+00:00,224327
2021-01-26 00:00:00+00:00,225327
2021-01-27 00:00:00+00:00,226484
2021-01-28 00:00:00+00:00,227490
2021-01-29 00:00:00+00:00,228489
2021-01-30 00:00:00+00:00,229276
2021-01-31 00:00:00+00:00,230056
2021-02-01 00:00:00+00:00,231161
2021-02-02 00:00:00+00:00,232287
2021-02-03 00:00:00+00:00,233341
2021-02-04 00:00:00+00:00,234468
2021-02-05 00:00:00+00:00,235564
2021-02-06 00:00:00+00:00,236494
2021-02-07 00:00:00+00:00,237455
2021-02-08 00:00:00+00:00,238537
2021-02-09 00:00:00+00:00,239609
2021-02-10 00:00:00+00:00,240941
2021-02-11 00:00:00+00:00,241952
2021-02-12 00:00:00+00:00,242909
2021-02-13 00:00:00+00:00,243843
2021-02-14 00:00:00+00:00,244692
2021-02-15 00:00:00+00:00,245809
2021-02-16 00:00:00+00:00,246833
2021-02-17 00:00:00+00:00,248081
2021-02-18 00:00:00+00:00,249392
2021-02-19 00:00:00+00:00,250455
2021-02-20 00:00:00+00:00,251317
2021-02-21 00:00:00+00:00,252131
2021-02-22 00:00:00+00:00,253231
2021-02-23 00:00:00+00:00,254343
2021-02-24 00:00:00+00:00,255418
2021-02-25 00:00:00+00:00,256488
2021-02-26 00:00:00+00:00,257440
2021-02-27 00:00:00+00:00,258115
2021-02-28 00:00:00+00:00,258929
2021-03-01 00:00:00+00:00,260016
2021-03-02 00:00:00+00:00,261195
2021-03-03 00:00:00+00:00,262317
2021-03-04 00:00:00+00:00,263582
2021-03-05 00:00:00+00:00,264746
2021-03-06 00:00:00+00:00,265806
2021-03-07 00:00:00+00:00,266808
2021-03-08 00:00:00+00:00,269811
2021-03-09 00:00:00+00:00,271146
2021-03-10 00:00:00+00:00,272301
2021-03-11 00:00:00+00:00,273417
2021-03-12 00:00:00+00:00,274498
2021-03-13 00:00:00+00:00,275526
2021-03-14 00:00:00+00:00,276363
2021-03-15 00:00:00+00:00,277519
2021-03-16 00:00:00+00:00,278730
2021-03-17 00:00:00+00:00,279771
2021-03-18 00:00:00+00:00,280918
2021-03-19 00:00:00+00:00,282208
2021-03-20 00:00:00+00:00,283038
2021-03-21 00:00:00+00:00,283818
2021-03-22 00:00:00+00:00,284836
2021-03-23 00:00:00+00:00,285908
2021-03-24 00:00:00+00:00,286971
2021-03-25 00:00:00+00:00,288170
2021-03-26 00:00:00+00:00,289557
2021-03-27 00:00:00+00:00,290445
2021-03-28 00:00:00+00:00,291356
2021-03-29 00:00:00+00:00,292582
2021-03-30 00:00:00+00:00,293684
2021-03-31 00:00:00+00:00,294855
2021-04-01 00:00:00+00:00,296176
2021-04-02 00:00:00+00:00,297255
2021-04-03 00:00:00+00:00,298149
2021-04-04 00:00:00+00:00,298999
2021-04-05 00:00:00+00:00,300326
2021-04-06 00:00:00+00:00,301358
2021-04-07 00:00:00+00:00,302479
2021-04-08 00:00:00+00:00,303702
2021-04-09 00:00:00+00:00,305500
2021-04-10 00:00:00+00:00,306917
2021-04-11 00:00:00+00:00,309214
2021-04-12 00:00:00+00:00,310985
2021-04-13 00:00:00+00:00,313585
2021-04-14 00:00:00+00:00,315112
2021-04-15 00:00:00+00:00,316571
2021-04-16 00:00:00+00:00,317668
2021-04-17 00:00:00+00:00,318479
2021-04-18 00:00:00+00:00,319564
2021-04-19 00:00:00+00:00,321052
2021-04-20 00:00:00+00:00,322858
2021-04-21 00:00:00+00:00,325246
2021-04-22 00:00:00+00:00,326414
2021-04-23 00:00:00+00:00,327571
2021-04-24 00:00:00+00:00,329319
2021-04-25 00:00:00+00:00,333233
2021-04-26 00:00:00+00:00,335503
2021-04-27 00:00:00+00:00,336956
2021-04-28 00:00:00+00:00,339447
2021-04-29 00:00:00+00:00,342072
2021-04-30 00:00:00+00:00,345471
2021-05-01 00:00:00+00:00,347325
2021-05-02 00:00:00+00:00,348405
2021-05-03 00:00:00+00:00,349551
2021-05-04 00:00:00+00:00,350815
2021-05-05 00:00:00+00:00,352116
2021-05-06 00:00:00+00:00,353275
2021-05-07 00:00:00+00:00,354399
2021-05-08 00:00:00+00:00,355655
2021-05-09 00:00:00+00:00,356992
2021-05-10 00:00:00+00:00,358587
2021-05-11 00:00:00+00:00,360211
2021-05-12 00:00:00+00:00,361843
2021-05-13 00:00:00+00:00,363196
2021-05-14 00:00:00+00:00,364398
2021-05-15 00:00:00+00:00,365608
2021-05-16 00:00:00+00:00,366645
2021-05-17 00:00:00+00:00,367988
2021-05-18 00:00:00+00:00,369606
2021-05-19 00:00:00+00:00,371796
2021-05-20 00:00:00+00:00,373298
2021-05-21 00:00:00+00:00,374629
2021-05-22 00:00:00+00:00,375597
2021-05-23 00:00:00+00:00,376560
2021-05-24 00:00:00+00:00,378450
2021-05-25 00:00:00+00:00,379977
2021-05-26 00:00:00+00:00,382120
2021-05-27 00:00:00+00:00,383529
2021-05-28 00:00:00+00:00,384823
2021-05-29 00:00:00+00:00,385877
2021-05-30 00:00:00+00:00,386700
2021-05-31 00:00:00+00:00,387958
2021-06-01 00:00:00+00:00,389393
2021-06-02 00:00:00+00:00,391610
2021-06-03 00:00:00+00:00,393161
2021-06-04 00:00:00+00:00,394564
2021-06-05 00:00:00+00:00,395599
2021-06-06 00:00:00+00:00,396602
2021-06-07 00:00:00+00:00,398024
2021-06-08 00:00:00+00:00,399870
2021-06-09 00:00:00+00:00,401380
2021-06-10 00:00:00+00:00,403638
2021-06-11 00:00:00+00:00,405732
2021-06-12 00:00:00+00:00,407209
2021-06-13 00:00:00+00:00,408711
2021-06-14 00:00:00+00:00,410284
2021-06-15 00:00:00+00:00,412417
2021-06-16 00:00:00+00:00,414403
2021-06-17 00:00:00+00:00,416251
2021-06-18 00:00:00+00:00,417731
2021-06-19 00:00:00+00:00,418990
2021-06-20 00:00:00+00:00,420640
2021-06-21 00:00:00+00:00,423348
2021-06-22 00:00:00+00:00,425188
2021-06-23 00:00:00+00:00,426883
2021-06-24 00:00:00+00:00,428977
2021-06-25 00:00:00+00:00,431030
2021-06-26 00:00:00+00:00,432601
2021-06-27 00:00:00+00:00,434324
2021-06-28 00:00:00+00:00,436216
2021-06-29 00:00:00+00:00,438274
2021-06-30 00:00:00+00:00,440169
2021-07-01 00:00:00+00:00,442180
2021-07-02 00:00:00+00:00,443961
2021-07-03 00:00:00+00:00,444895
2021-07-04 00:00:00+00:00,446872
2021-07-05 00:00:00+00:00,450763
2021-07-06 00:00:00+00:00,452435
2021-07-07 00:00:00+00:00,454038
2021-07-08 00:00:00+00:00,456226
2021-07-09 00:00:00+00:00,458129
2021-07-10 00:00:00+00:00,459538
2021-07-11 00:00:00+00:00,461259
2021-07-12 00:00:00+00:00,463386
2021-07-13 00:00:00+00:00,465431
2021-07-14 00:00:00+00:00,467683
2021-07-15 00:00:00+00:00,469804
2021-07-16 00:00:00+00:00,471653
2021-07-17 00:00:00+00:00,473133
2021-07-18 00:00:00+00:00,475253
2021-07-19 00:00:00+00:00,478280
2021-07-20 00:00:00+00:00,481329
2021-07-21 00:00:00+00:00,484335
2021-07-22 00:00:00+00:00,487115
2021-07-23 00:00:00+00:00,489839
2021-07-24 00:00:00+00:00,491854
2021-07-25 00:00:00+00:00,493453
2021-07-26 00:00:00+00:00,496038
2021-07-27 00:00:00+00:00,498236
2021-07-28 00:00:00+00:00,500829
2021-07-29 00:00:00+00:00,503216
2021-07-30 00:00:00+00:00,505386
2021-07-31 00:00:00+00:00,507671
2021-08-01 00:00:00+00:00,510775
2021-08-02 00:00:00+00:00,516814
2021-08-03 00:00:00+00:00,522607
2021-08-04 00:00:00+00:00,529089
2021-08-05 00:00:00+00:00,535144
2021-08-06 00:00:00+00:00,541379
2021-08-07 00:00:00+00:00,547183
2021-08-08 00:00:00+00:00,552190
2021-08-09 00:00:00+00:00,556703
2021-08-10 00:00:00+00:00,560708
2021-08-11 00:00:00+00:00,564327
2021-08-12 00:00:00+00:00,568699
2021-08-13 00:00:00+00:00,571731
2021-08-14 00:00:00+00:00,574273
2021-08-15 00:00:00+00:00,577055
2021-08-16 00:00:00+00:00,581207
